id,recommended_place,state,budget_preference,original_budget_preference,budget_changed,budget_confidence,budget_audit_reason,activity_interest,trip_duration,group_type,transportation_preference,accommodation_preference,destination_type,category,record_type,rating_imputed,price_myr_imputed,price_range_imputed,place_name,city,rating,rating_was_imputed,price_myr,price_range,duration,latitude,longitude,booking_link,source,original_recommended_place,original_place_name,original_category,original_destination_type,original_activity_interest,original_price_range,original_price_range_imputed,include_for_generator,price_basis_clean,data_quality_flags
3259,Lorong,Terengganu,Budget,Premium,True,low,unknown_price_public_or_low_cost_keyword,Sightseeing,2-3 Days,Couple,Car/Self-Drive,Resort/Luxury Hotel,Beach & Island,Sightseeing & Tours,attraction,4.5,,Unknown,Lorong,Kuala Terengganu,,True,,Unknown,,5.3095438,103.14332170000002,,Google Places,Lorong,Lorong,Sightseeing & Tours,Beach & Island,Sightseeing,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed
3260,Lanting Beach Resort (Kl Office,Selangor,Premium,Premium,False,low,unknown_price_premium_activity_or_resort_keyword,Relaxation,Half Day,Solo,Car/Self-Drive,Resort/Luxury Hotel,City & Urban,Accommodation,accommodation,4.4,,Unknown,Lanting Beach Resort (Kl Office,Kuala Lumpur,,True,,Unknown,,3.14579,101.76851,,Google Places,Lanting Beach Resort ,Lanting Beach Resort (Kl Office,Accommodation,Beach & Island,Relaxation,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,category_reclassified_by_keyword;price_unknown_not_imputed
3261,Kuching Waterfront Musical Fountain,Sarawak,Budget,Premium,True,low,unknown_price_category_default_sightseeing,Sightseeing,1 Day,Group of Friends,Car/Self-Drive,Resort/Luxury Hotel,Highland & Nature,Sightseeing & Tours,attraction,4.7,,Unknown,Kuching Waterfront Musical Fountain,Kuching,,True,,Unknown,,1.5606160000000002,110.3476961,,Google Places,Kuching Waterfront Musical Fountain,Kuching Waterfront Musical Fountain,Sightseeing & Tours,Highland & Nature,Sightseeing,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed
3262,Ntf Jewellery Museum,Kuala Lumpur,Moderate,Premium,True,low,unknown_price_heritage_or_museum_keyword,Culture,1 Day,Family,Public Transport,Homestay,Heritage & Culture,Heritage & Museum,attraction,4.6,,Unknown,Ntf Jewellery Museum,Kuala Lumpur,,True,,Unknown,,3.0830993,101.6664187,,Google Places,Ntf Jewellery Museum,Ntf Jewellery Museum,Heritage & Museum,Heritage & Culture,Culture,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed
3263,Meida Kuching,Sarawak,Budget,Premium,True,low,unknown_price_category_default_sightseeing,Sightseeing,1 Day,Group of Friends,Car/Self-Drive,Boutique Hotel,Highland & Nature,Sightseeing & Tours,attraction,4.5,,Unknown,Meida Kuching,Kuching,,True,,Unknown,,1.5583994,110.3555038,,Google Places,Meida Kuching Tour,Meida Kuching Tour,Sightseeing & Tours,Highland & Nature,Sightseeing,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,name_normalized;price_unknown_not_imputed;product_text_removed
3264,Malaysia Steampunk House,Sarawak,Budget,Premium,True,low,unknown_price_category_default_sightseeing,Sightseeing,2-3 Days,Group of Friends,Flight,Boutique Hotel,Highland & Nature,Sightseeing & Tours,attraction,4.6,,Unknown,Malaysia Steampunk House,Kuching,,True,,Unknown,,1.55741,110.352988,,Google Places,Malaysia Steampunk House,Malaysia Steampunk House,Sightseeing & Tours,Highland & Nature,Sightseeing,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed
3265,Malaysia,Kedah,Budget,Premium,True,low,unknown_price_category_default_sightseeing,Sightseeing,2-3 Days,Group of Friends,Tour Bus,Boutique Hotel,Highland & Nature,Sightseeing & Tours,attraction,4.6,,Unknown,Malaysia,Langkawi,,True,,Unknown,,6.35,99.8,,Google Places,Malaysia,Malaysia,Sightseeing & Tours,Highland & Nature,Sightseeing,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed
3266,Penang Museum Board,Penang,Moderate,Premium,True,low,unknown_price_heritage_or_museum_keyword,Culture,Half Day,Family,Car/Self-Drive,Mid-range Hotel,Heritage & Culture,Heritage & Museum,attraction,4.4,,Unknown,Penang Museum Board,George Town,,True,,Unknown,,5.418721,100.323801,,Google Places,Penang Museum Board,Penang Museum Board,Heritage & Museum,Heritage & Culture,Culture,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed
3267,Kuala Lumpur,Kuala Lumpur,Budget,Premium,True,low,unknown_price_category_default_sightseeing,Sightseeing,1 Day,Solo,Public Transport,Boutique Hotel,City & Urban,Sightseeing & Tours,attraction,4.8,,Unknown,Kuala Lumpur,Kuala Lumpur,,True,,Unknown,,3.1319197,101.6840589,,Google Places,Kuala Lumpur,Kuala Lumpur,Sightseeing & Tours,City & Urban,Sightseeing,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed
3268,Koisaan Museum & Library,Sabah,Moderate,Premium,True,low,unknown_price_heritage_or_museum_keyword,Culture,1 Day,Solo,Flight,Boutique Hotel,Heritage & Culture,Heritage & Museum,attraction,4.5,,Unknown,Koisaan Museum & Library,Kota Kinabalu,,True,,Unknown,,5.9230507,116.0893905,,Google Places,Koisaan Museum & Library,Koisaan Museum & Library,Heritage & Museum,Heritage & Culture,Culture,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed
3269,Karim Shipping Lins,Johor,Budget,Premium,True,low,unknown_price_category_default_sightseeing,Sightseeing,1 Day,Solo,Car/Self-Drive,Resort/Luxury Hotel,Highland & Nature,Sightseeing & Tours,attraction,4.3,,Unknown,Karim Shipping Lins,Johor Bahru,,True,,Unknown,,1.4854613,103.7629045,,Google Places,Karim Shipping Lins,Karim Shipping Lins,Sightseeing & Tours,Highland & Nature,Sightseeing,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed
3270,Penang Food Museum,Penang,Moderate,Premium,True,low,unknown_price_food_or_dining_keyword,Food,1 Day,Couple,Public Transport,Resort/Luxury Hotel,Food & Culinary,Food & Dining,attraction,4.6,,Unknown,Penang Food Museum,George Town,,True,,Unknown,,5.4192735,100.340666,,Google Places,Penang Food Museum,Penang Food Museum,Heritage & Museum,Heritage & Culture,Culture,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,category_reclassified_by_keyword;price_unknown_not_imputed
3271,Quel Crat Enterprise,Sabah,Budget,Premium,True,low,unknown_price_public_or_low_cost_keyword,Sightseeing,1 Day,Family,Car/Self-Drive,Mid-range Hotel,Beach & Island,Sightseeing & Tours,attraction,4.4,,Unknown,Quel Crat Enterprise,Kota Kinabalu,,True,,Unknown,,5.9779246,116.0720678,,Google Places,Quel Crat Enterprise,Quel Crat Enterprise,Sightseeing & Tours,Beach & Island,Sightseeing,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed
3272,Kuala Terenganu,Terengganu,Budget,Premium,True,low,unknown_price_category_default_sightseeing,Sightseeing,2-3 Days,Couple,Taxi/Grab,Resort/Luxury Hotel,Highland & Nature,Sightseeing & Tours,attraction,4.5,,Unknown,Kuala Terenganu,Kuala Terengganu,,True,,Unknown,,5.271688,103.125908,,Google Places,Kuala Terenganu,Kuala Terenganu,Sightseeing & Tours,Highland & Nature,Sightseeing,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed
3273,Wayang Street,Sarawak,Budget,Premium,True,low,unknown_price_category_default_sightseeing,Sightseeing,1 Day,Family,Car/Self-Drive,Mid-range Hotel,City & Urban,Sightseeing & Tours,attraction,4.7,,Unknown,Wayang Street,Kuching,,True,,Unknown,,1.5566000999999998,110.3478692,,Google Places,Wayang Street,Wayang Street,Sightseeing & Tours,City & Urban,Sightseeing,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed
3274,Wang Buluh Cave,Kedah,Moderate,Premium,True,low,unknown_price_heritage_or_museum_keyword,Culture,2-3 Days,Solo,Tour Bus,Resort/Luxury Hotel,Heritage & Culture,Religious & Cultural,attraction,4.5,,Unknown,Wang Buluh Cave,Langkawi,,True,,Unknown,,6.35,99.8,,Google Places,Wang Buluh Cave,Wang Buluh Cave,Sightseeing & Tours,Eco & Wildlife,Sightseeing,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,category_reclassified_by_keyword;price_unknown_not_imputed
3275,Pasir Pengelau,Pahang,Budget,Premium,True,low,unknown_price_category_default_nature,Nature,1 Day,Solo,Car/Self-Drive,Resort/Luxury Hotel,Highland & Nature,Nature & Outdoors,attraction,4.3,,Unknown,Pasir Pengelau,Cameron Highlands,,True,,Unknown,,5.9333333,102.7166667,,Google Places,Pasir Pengelau,Pasir Pengelau,Nature & Outdoors,Highland & Nature,Nature,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed
3276,Pasir Ayer,Pahang,Budget,Premium,True,low,unknown_price_category_default_nature,Nature,1 Day,Family,Car/Self-Drive,Resort/Luxury Hotel,Eco & Wildlife,Nature & Outdoors,attraction,4.2,,Unknown,Pasir Ayer,Cameron Highlands,,True,,Unknown,,5.8,102.9,,Google Places,Pasir Ayer,Pasir Ayer,Nature & Outdoors,Eco & Wildlife,Nature,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed
3277,Peters Garten,Kedah,Budget,Premium,True,low,unknown_price_public_or_low_cost_keyword,Sightseeing,1 Day,Couple,Taxi/Grab,Resort/Luxury Hotel,Beach & Island,Sightseeing & Tours,attraction,4.6,,Unknown,Peters Garten,Langkawi,,True,,Unknown,,6.35,99.8,,Google Places,Peters Garten,Peters Garten,Sightseeing & Tours,Beach & Island,Sightseeing,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed
3278,Perak,Perak,Moderate,Premium,True,low,unknown_price_heritage_or_museum_keyword,Culture,1 Day,Couple,Taxi/Grab,Boutique Hotel,Heritage & Culture,Heritage & Museum,attraction,4.5,,Unknown,Perak,Ipoh,,True,,Unknown,,4.6405393,101.0702844,,Google Places,Perak,Perak,Heritage & Museum,Heritage & Culture,Culture,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed
3279,Dalit Bay Carnival,Sabah,Budget,Premium,True,low,unknown_price_public_or_low_cost_keyword,Sightseeing,2-3 Days,Family,Car/Self-Drive,Mid-range Hotel,Beach & Island,Sightseeing & Tours,attraction,4.3,,Unknown,Dalit Bay Carnival,Kota Kinabalu,,True,,Unknown,,5.9843644,116.07734399999998,,Google Places,Dalit Bay Carnival,Dalit Bay Carnival,Sightseeing & Tours,Beach & Island,Sightseeing,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed
3280,Cheng Hoon Teng Temple Museum,Melaka,Moderate,Premium,True,low,unknown_price_heritage_or_museum_keyword,Culture,Half Day,Solo,Car/Self-Drive,Mid-range Hotel,Heritage & Culture,Religious & Cultural,attraction,4.3,,Unknown,Cheng Hoon Teng Temple Museum,Melaka,,True,,Unknown,,2.1971273,102.2462092,,Google Places,Cheng Hoon Teng Temple Museum,Cheng Hoon Teng Temple Museum,Heritage & Museum,Heritage & Culture,Culture,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,category_reclassified_by_keyword;price_unknown_not_imputed
3281,Bang Liao Fisherman Village,Sarawak,Moderate,Premium,True,low,unknown_price_heritage_or_museum_keyword,Culture,1 Day,Group of Friends,Car/Self-Drive,Resort/Luxury Hotel,Heritage & Culture,Heritage & Museum,attraction,4.5,,Unknown,Bang Liao Fisherman Village,Kuching,,True,,Unknown,,1.5562097,110.3538754,,Google Places,Bang Liao Fisherman Village,Bang Liao Fisherman Village,Sightseeing & Tours,Eco & Wildlife,Sightseeing,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,category_reclassified_by_keyword;price_unknown_not_imputed
3282,Balai Seni Negara Ipoh,Perak,Moderate,Premium,True,low,unknown_price_heritage_or_museum_keyword,Culture,Half Day,Family,Car/Self-Drive,Resort/Luxury Hotel,Heritage & Culture,Heritage & Museum,attraction,4.4,,Unknown,Balai Seni Negara Ipoh,Ipoh,,True,,Unknown,,4.5969161,101.0754849,,Google Places,Balai Seni Negara Ipoh,Balai Seni Negara Ipoh,Heritage & Museum,Heritage & Culture,Culture,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed
3283,Avant,Pahang,Budget,Premium,True,low,unknown_price_category_default_sightseeing,Sightseeing,2-3 Days,Solo,Public Transport,Mid-range Hotel,Eco & Wildlife,Sightseeing & Tours,attraction,4.4,,Unknown,Avant,Cameron Highlands,,True,,Unknown,,4.467892099999999,101.3847868,,Google Places,Avant,Avant,Sightseeing & Tours,Eco & Wildlife,Sightseeing,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed
3284,Kt Safari Park,Terengganu,Budget,Premium,True,low,unknown_price_public_or_low_cost_keyword,Nature,1 Day,Couple,Public Transport,Resort/Luxury Hotel,Highland & Nature,Nature & Outdoors,attraction,4.4,,Unknown,Kt Safari Park,Kuala Terengganu,,True,,Unknown,,5.2861183,103.171218,,Google Places,Kt Safari Park,Kt Safari Park,Nature & Outdoors,Beach & Island,Nature,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,category_reclassified_by_keyword;price_unknown_not_imputed
3285,Ismail Hossain,Kuala Lumpur,Moderate,Premium,True,low,unknown_price_heritage_or_museum_keyword,Culture,Half Day,Couple,Public Transport,Resort/Luxury Hotel,Heritage & Culture,Heritage & Museum,attraction,4.6,,Unknown,Ismail Hossain,Kuala Lumpur,,True,,Unknown,,3.1319197,101.6840589,,Google Places,Ismail Hossain,Ismail Hossain,Heritage & Museum,Heritage & Culture,Culture,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed
3286,I Love Ipoh,Perak,Moderate,Premium,True,low,unknown_price_heritage_or_museum_keyword,Sightseeing,1 Day,Couple,Taxi/Grab,Boutique Hotel,Heritage & Culture,Sightseeing & Tours,attraction,4.3,,Unknown,I Love Ipoh,Ipoh,,True,,Unknown,,4.6122166,101.10859630000002,,Google Places,I Love Ipoh,I Love Ipoh,Sightseeing & Tours,Heritage & Culture,Sightseeing,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed
3287,Hj Zahri@Zahari Palace,Terengganu,Moderate,Premium,True,low,unknown_price_heritage_or_museum_keyword,Culture,1 Day,Family,Taxi/Grab,Resort/Luxury Hotel,Heritage & Culture,Heritage & Museum,attraction,4.5,,Unknown,Hj Zahri@Zahari Palace,Kuala Terengganu,,True,,Unknown,,5.2897773,103.1291134,,Google Places,Hj Zahri@Zahari Palace,Hj Zahri@Zahari Palace,Sightseeing & Tours,Heritage & Culture,Sightseeing,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,category_reclassified_by_keyword;price_unknown_not_imputed
3288,Gilang Pata Johor Baru,Johor,Budget,Premium,True,low,unknown_price_category_default_sightseeing,Sightseeing,1 Day,Solo,Taxi/Grab,Mid-range Hotel,Highland & Nature,Sightseeing & Tours,attraction,4.4,,Unknown,Gilang Pata Johor Baru,Johor Bahru,,True,,Unknown,,1.4798574999999998,103.7642576,,Google Places,Gilang Pata Johor Baru,Gilang Pata Johor Baru,Sightseeing & Tours,Highland & Nature,Sightseeing,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed
3289,Gaya Street Entrance Statement,Sabah,Budget,Premium,True,low,unknown_price_category_default_sightseeing,Sightseeing,1 Day,Couple,Car/Self-Drive,Resort/Luxury Hotel,City & Urban,Sightseeing & Tours,attraction,4.3,,Unknown,Gaya Street Entrance Statement,Kota Kinabalu,,True,,Unknown,,5.9849438,116.0777937,,Google Places,Gaya Street Entrance Statement,Gaya Street Entrance Statement,Sightseeing & Tours,City & Urban,Sightseeing,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed
3290,Eagle Watch,Kedah,Budget,Premium,True,low,unknown_price_public_or_low_cost_keyword,Sightseeing,2-3 Days,Family,Car/Self-Drive,Resort/Luxury Hotel,Beach & Island,Sightseeing & Tours,attraction,4.4,,Unknown,Eagle Watch,Langkawi,,True,,Unknown,,6.35,99.8,,Google Places,Eagle Watch,Eagle Watch,Sightseeing & Tours,Beach & Island,Sightseeing,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed
3291,Access Road Long Beach,Terengganu,Budget,Premium,True,low,unknown_price_public_or_low_cost_keyword,Nature,Half Day,Couple,Tour Bus,Boutique Hotel,Beach & Island,Nature & Outdoors,attraction,4.4,,Unknown,Access Road Long Beach,Kuala Terengganu,,True,,Unknown,,5.2969712,103.1378536,,Google Places,Access Road Long Beach,Access Road Long Beach,Adventure & Sports,Beach & Island,Adventure,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,category_reclassified_by_keyword;price_unknown_not_imputed
3292,Ast Traveling,Terengganu,Moderate,Premium,True,low,unknown_price_heritage_or_museum_keyword,Culture,1 Day,Solo,Car/Self-Drive,Resort/Luxury Hotel,Heritage & Culture,Heritage & Museum,attraction,4.3,,Unknown,Ast Traveling,Kuala Terengganu,,True,,Unknown,,5.33334,103.1328692,,Google Places,Ast Traveling,Ast Traveling,Heritage & Museum,Heritage & Culture,Culture,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed
3447,Carton Box Theme Park,Johor,Moderate,Premium,True,low,unknown_price_paid_attraction_keyword,Entertainment,Half Day,Family,Public Transport,Homestay,City & Urban,Entertainment,attraction,4.1,,Unknown,Carton Box Theme Park,,,True,,Unknown,,1.4865186,103.7611203,https://www.linbaq.com/space-residency,OSM,Carton Box Theme Park,Carton Box Theme Park,Nature & Outdoors,Highland & Nature,Nature,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,category_reclassified_by_keyword;price_unknown_not_imputed
3448,Callista Green Playground,Johor,Budget,Premium,True,low,unknown_price_category_default_nature,Nature,1 Day,Family,Tour Bus,Mid-range Hotel,Highland & Nature,Nature & Outdoors,attraction,4.3,,Unknown,Callista Green Playground,Masai,,True,,Unknown,,1.4777454,103.8612376,,OSM,Callista Green Playground,Callista Green Playground,Nature & Outdoors,Highland & Nature,Nature,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed
3449,Gelanggang Bola Keranjang,Johor,Budget,Premium,True,low,unknown_price_category_default_nature,Nature,Half Day,Couple,Car/Self-Drive,Resort/Luxury Hotel,Highland & Nature,Nature & Outdoors,attraction,4.1,,Unknown,Gelanggang Bola Keranjang,Taman Universiti,,True,,Unknown,,1.5371241,103.6206449,,OSM,Gelanggang Bola Keranjang,Gelanggang Bola Keranjang,Nature & Outdoors,Highland & Nature,Nature,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed
3450,Dudu Durian Farm,Johor,Moderate,Premium,True,low,unknown_price_managed_nature_site_keyword,Nature,Half Day,Family,Taxi/Grab,Resort/Luxury Hotel,Highland & Nature,Nature & Outdoors,attraction,4.1,,Unknown,Dudu Durian Farm,Batu Pahat,,True,,Unknown,,1.789907,102.9258636,,OSM,Dudu Durian Farm,Dudu Durian Farm,Nature & Outdoors,Highland & Nature,Nature,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed
3451,Batu Pahat Crown,Johor,Budget,Premium,True,low,unknown_price_category_default_nature,Nature,Half Day,Solo,Public Transport,Boutique Hotel,Highland & Nature,Nature & Outdoors,attraction,4.1,,Unknown,Batu Pahat Crown,Batu Pahat,,True,,Unknown,,1.8579005,102.9370449,,OSM,Batu Pahat Crown,Batu Pahat Crown,Nature & Outdoors,Highland & Nature,Nature,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed
3452,Bangunan Sultan Ibrahim,Johor,Moderate,Premium,True,low,unknown_price_heritage_or_museum_keyword,Sightseeing,2-3 Days,Couple,Taxi/Grab,Resort/Luxury Hotel,Heritage & Culture,Sightseeing & Tours,attraction,4.4,,Unknown,Bangunan Sultan Ibrahim,Johor Bahru,,True,,Unknown,,1.4578152,103.7611326,,OSM,Bangunan Sultan Ibrahim,Bangunan Sultan Ibrahim,Sightseeing & Tours,Heritage & Culture,Sightseeing,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed
3453,La Stella Water Theme Park,Johor,Moderate,Premium,True,low,unknown_price_paid_attraction_keyword,Entertainment,2-3 Days,Family,Tour Bus,Resort/Luxury Hotel,City & Urban,Entertainment,attraction,4.2,,Unknown,La Stella Water Theme Park,,,True,,Unknown,,1.5661808,103.7207289,https://starhill-golf.com/water-park/,OSM,La Stella Water Theme Park,La Stella Water Theme Park,Nature & Outdoors,Highland & Nature,Nature,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,category_reclassified_by_keyword;price_unknown_not_imputed
3454,Rumah Terbalik Upside Down Pd,Negeri Sembilan,Moderate,Premium,True,low,unknown_price_category_default_entertainment,Entertainment,1 Day,Couple,Car/Self-Drive,Resort/Luxury Hotel,City & Urban,Entertainment,attraction,4.4,,Unknown,Rumah Terbalik Upside Down Pd,Port Dickson,,True,,Unknown,,2.4463578,101.8596292,,OSM,Rumah Terbalik Upside Down Pd,Rumah Terbalik Upside Down Pd,Heritage & Museum,Heritage & Culture,Culture,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,category_reclassified_by_keyword;price_unknown_not_imputed
3455,Persatuan Kebudayaan Hakka Negeri Sembilan,Negeri Sembilan,Moderate,Premium,True,low,unknown_price_heritage_or_museum_keyword,Culture,Half Day,Family,Car/Self-Drive,Resort/Luxury Hotel,Heritage & Culture,Heritage & Museum,attraction,4.5,,Unknown,Persatuan Kebudayaan Hakka Negeri Sembilan,,,True,,Unknown,,2.7336193,101.9377564,https://www.facebook.com/MalaysianHakkaCulturalSocietyNS/,OSM,Persatuan Kebudayaan Hakka Negeri Sembilan,Persatuan Kebudayaan Hakka Negeri Sembilan,Heritage & Museum,Heritage & Culture,Culture,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed
